shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
1,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,3.813375949859619,3.855729481379191,3.919974446296692,3.791872024536133,A,1.0,1.0,0.0,2148227.740383575,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.9802322387695312e-06,6.409092903137207,1.9159040451049805,1.9393911528587342,1.9955743551254272,1.8995200395584106,A,1.9903794031870048,1.9903794031870048,-49.75832253896944,4275788.247814428,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.159046173095703e-06,4.853213787078857,1.3783040046691895,1.4398257025082906,1.6428031802177427,1.369088053703308,A,2.766716150385762,2.766716150385762,-63.85606814560394,5943536.38402595,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,U,selective+attention_core,True,sdpa,True,auto,True,none,torch.float16,attention_core,,False,PASS,,0,0.0018301308155059814,801.6361083984375,1.738752007484436,1.7674619817733765,1.855574345588684,1.7254400253295898,A,2.1931683951736596,2.1931683951736596,-54.40386601409063,4711425.1858445825,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0017038285732269287,1072.72216796875,0.9195520281791687,0.9843089123566945,1.214259147644043,0.9134079813957214,A,4.146993136876218,4.146993136876218,-75.8861428752384,8908685.695817793,cuda,torch.float32,64,128,128,4,128,4,True,0.0
2,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.6025279760360718,2.66558869043986,2.908569574356079,2.525183916091919,A,1.0,1.0,0.0,49182.94872470792,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.86102294921875e-06,1.7148292064666748,1.0322239995002747,1.064415787855784,1.2016831755638122,1.0106879472732544,A,2.52128218031747,2.52128218031747,-60.33764059387895,124004.09219507393,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.682209014892578e-06,1.8250954151153564,0.187391996383667,0.26922154426574707,0.6352031767368316,0.18636800348758698,A,13.888149047239176,13.888149047239176,-92.79961644565738,683060.1224714655,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,U,selective+attention_core,True,sdpa,True,auto,True,none,torch.float16,attention_core,,False,PASS,,0,0.0013807415962219238,470.2991027832031,1.2692480087280273,1.3088181336720786,1.4749792575836183,1.2419840097427368,A,2.050448736684792,2.050448736684792,-51.23018770921235,100847.11507901027,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0014357566833496094,547.2742919921875,0.18227200210094452,0.25993642667929334,0.6175743937492371,0.16383999586105347,A,14.278265153387403,14.278265153387403,-92.99634802087454,702247.1829168366,cuda,torch.float32,1,128,128,4,128,4,True,0.0
3,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.5773919820785522,2.632307839393616,2.872339153289795,2.4934399127960205,A,1.0,1.0,0.0,198650.42009911692,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.689659595489502e-06,0.3662211298942566,1.0250240564346313,1.0570634698867798,1.204531192779541,1.0004479885101318,A,2.5144697491720964,2.5144697491720964,-60.2301837065546,499500.47199955804,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.6226043701171875e-06,0.2889607846736908,0.22323200106620789,0.3055018648505211,0.6800383925437927,0.22220799326896667,A,11.545799749893964,11.545799749893964,-91.3388416423108,2293577.970696715,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,U,selective+attention_core,True,sdpa,True,auto,True,none,torch.float16,attention_core,,False,PASS,,0,0.001792117953300476,59.11796951293945,1.2729440331459045,1.3062865138053894,1.4793984293937683,1.240928053855896,A,2.024748861667457,2.024748861667457,-50.61115879939489,402217.21196544915,cuda,torch.float32,4,128,128,4,128,4,True,0.0
