shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
1,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.726912021636963,2.7523675839106243,2.848812890052795,2.7146239280700684,A,1.0,1.0,0.0,3004130.6558479834,cuda,torch.float32,64,128,128,4,128,4,True,0.0
2,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.7740159034729004,2.8221388816833497,3.0049728870391843,2.5815999507904053,A,1.0,1.0,0.0,46142.489608567754,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,0.0020531415939331055,219.82008361816406,1.1247999668121338,1.145552639166514,1.2763008236885072,1.0476160049438477,A,2.466230427917697,2.466230427917697,-59.4522884528545,113798.01189252596,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,0.002036571502685547,295.8284606933594,0.19046400487422943,0.2606523734331131,0.6237183809280396,0.1730560064315796,A,14.564515249507053,14.564515249507053,-93.1339973705349,672042.9935542059,cuda,torch.float32,1,128,128,4,128,4,True,0.0
3,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.6655839681625366,2.727313911120097,2.8630016803741456,2.582335948944092,A,1.0,1.0,0.0,192077.98595552638,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,0.0023277997970581055,658.2261352539062,0.2165760025382042,0.29724842687447867,0.6666240096092224,0.1812479943037033,A,12.307845453433028,12.307845453433028,-91.87510109885991,2364066.1661472986,cuda,torch.float32,4,128,128,4,128,4,True,0.0
4,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.802191972732544,2.787019519805908,2.8343168735504154,2.619391918182373,A,1.0,1.0,0.0,730856.4223752674,cuda,torch.float32,16,128,128,4,128,4,True,0.0
5,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,5.570559978485107,5.667488670349121,6.051942253112793,5.560319900512695,A,1.0,1.0,0.0,2941176.4819477927,cuda,torch.float32,128,128,128,4,128,4,True,0.0
6,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,402.38795471191406,402.39055684407555,402.60755920410156,402.0029296875,A,1.0,1.0,0.0,3181009.7320542415,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
7,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.7955840826034546,2.801029537518819,2.8264448642730713,2.7626240253448486,A,1.0,1.0,0.0,2930335.757374539,cuda,torch.float32,64,128,32,4,32,4,True,0.0
8,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,16.19558334350586,16.259972928365073,16.41656360626221,16.17203140258789,A,1.0,1.0,0.0,505816.9147877496,cuda,torch.float32,64,128,1024,4,1024,4,True,0.0
9,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.3838720321655273,2.3872462860743204,2.4280062913894653,2.309119939804077,A,1.0,1.0,0.0,3436426.070470874,cuda,torch.float32,64,128,128,1,128,4,True,0.0
10,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.797439932823181,2.810592002868652,2.837510323524475,2.7555840015411377,A,1.0,1.0,0.0,2928391.7427076334,cuda,torch.float32,64,128,128,2,128,4,True,0.0
11,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,6.871039867401123,6.981535758972168,7.368703842163086,6.862847805023193,A,1.0,1.0,0.0,1192250.395586558,cuda,torch.float32,64,128,128,16,128,4,True,0.0
12,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.7985920906066895,2.809024640719096,2.8427135229110716,2.7310080528259277,A,1.0,1.0,0.0,731796.536863658,cuda,torch.float32,64,32,128,4,128,4,True,0.0
13,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,98.47296142578125,98.52456415812175,98.67263793945312,98.41766357421875,A,1.0,1.0,0.0,665522.7897192293,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
