shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
1,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,3.7883039712905884,3.8068878825505577,3.8430431842803956,3.7795839309692383,A,1.0,1.0,0.0,2162445.268933679,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.9802322387695312e-06,6.409092903137207,1.8984960317611694,1.9088638019561768,1.9507967591285706,1.8923519849777222,A,1.9954236974497699,1.9954236974497699,-49.88533005406123,4314994.534068404,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.159046173095703e-06,4.853213787078857,1.368064045906067,1.39244801680247,1.4960639476776123,1.3619199991226196,A,2.7690984078026846,2.7690984078026846,-63.88716279702342,5988023.751164698,cuda,torch.float32,64,128,128,4,128,4,True,0.0
2,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.6284960508346558,2.643242236773173,2.6851327419281006,2.5569279193878174,A,1.0,1.0,0.0,48697.048625716874,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.86102294921875e-06,1.7148292064666748,1.0522080063819885,1.0620473575592042,1.1011040329933166,1.031167984008789,A,2.49807645911451,2.49807645911451,-59.969199647537266,121648.95080025792,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.682209014892578e-06,1.8250954151153564,0.1884160041809082,0.21956202725569407,0.347135990858078,0.187391996383667,A,13.950492487415756,13.950492487415756,-92.83179428323362,679347.8110123831,cuda,torch.float32,1,128,128,4,128,4,True,0.0
3,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.660367965698242,2.6909160582224527,2.7871136426925656,2.5672640800476074,A,1.0,1.0,0.0,192454.58019399212,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.689659595489502e-06,0.3662211298942566,1.0711040496826172,1.093235839207967,1.1983871459960938,1.0342400074005127,A,2.4837624005684096,2.4837624005684096,-59.73849995590763,478011.4501030153,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.6226043701171875e-06,0.2889607846736908,0.2242559939622879,0.31026069114605587,0.650211191177368,0.22323200106620789,A,11.863085212097493,11.863085212097493,-91.57048961445341,2283105.0842997786,cuda,torch.float32,4,128,128,4,128,4,True,0.0
4,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.5949759483337402,2.615979522069295,2.6709120512008666,2.5588159561157227,A,1.0,1.0,0.0,789217.3341009349,cuda,torch.float32,16,128,128,4,128,4,True,0.0
4,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,3.2782554626464844e-06,2.1333343982696533,1.045520007610321,1.0558363715807597,1.0959872007369995,1.0261119604110718,A,2.48199549453378,2.48199549453378,-59.709838224833646,1958833.8674464815,cuda,torch.float32,16,128,128,4,128,4,True,0.0
4,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.4570693969726562e-06,3.5,0.4341759979724884,0.46659882724285123,0.5724160075187683,0.42905598878860474,A,5.9767835174024775,5.9767835174024775,-83.26859259519237,4716981.154102792,cuda,torch.float32,16,128,128,4,128,4,True,0.0
5,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,7.491583824157715,7.521020965576172,7.5591103553771966,7.482367992401123,A,1.0,1.0,0.0,2186987.4761552266,cuda,torch.float32,128,128,128,4,128,4,True,0.0
5,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,3.337860107421875e-06,19.66667366027832,3.6362240314483643,3.6672923882802326,3.7493758916854856,3.6270079612731934,A,2.0602646479880673,2.0602646479880673,-51.462546281297364,4505772.982715259,cuda,torch.float32,128,128,128,4,128,4,True,0.0
5,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.337860107421875e-06,19.66667366027832,3.635200023651123,3.6715187374750773,3.7653504371643063,3.625983953475952,A,2.06084500864228,2.06084500864228,-51.47621505710334,4507042.2241976755,cuda,torch.float32,128,128,128,4,128,4,True,0.0
6,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,537.5657043457031,537.4859684244792,538.0629394531251,534.8218994140625,A,1.0,1.0,0.0,2381104.281118434,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
6,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,4.172325134277344e-06,1271905.75,261.9008026123047,261.7995613606771,262.2433380126953,259.9649353027344,A,2.0525546274918023,2.0525546274918023,-51.28022481808495,4887346.610750183,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
6,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,4.172325134277344e-06,1271905.75,262.00831604003906,261.90410888671875,262.3233123779297,260.0877990722656,A,2.0517123748986443,2.0517123748986443,-51.26022476472121,4885341.119494831,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
7,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.5958399772644043,2.6374613110224407,2.7313152551651,2.588671922683716,A,1.0,1.0,0.0,3155818.5680740783,cuda,torch.float32,64,128,32,4,32,4,True,0.0
7,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.562999725341797e-06,13.666671752929688,1.060863971710205,1.0773301124572754,1.1181695580482482,1.0547200441360474,A,2.44691124073116,2.44691124073116,-59.13215063325343,7722007.927928576,cuda,torch.float32,64,128,32,4,32,4,True,0.0
7,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.562999725341797e-06,13.666671752929688,1.0741759538650513,1.1025032448768615,1.1440128087997437,1.0536960363388062,A,2.416587308554218,2.416587308554218,-58.61933080339339,7626311.099707563,cuda,torch.float32,64,128,32,4,32,4,True,0.0
8,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,31.329792022705078,31.458685302734374,32.185446929931636,31.065088272094727,A,1.0,1.0,0.0,261476.36071325207,cuda,torch.float32,64,128,1024,4,1024,4,True,0.0
8,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,6.631016731262207e-06,18.75,26.834943771362305,26.715885683695475,27.086274528503417,25.788415908813477,A,1.1674998199973716,1.1674998199973716,-14.34688186913371,305273.6040662896,cuda,torch.float32,64,128,1024,4,1024,4,True,0.0
8,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,6.631016731262207e-06,18.75,26.669568061828613,26.66641576131185,26.919849014282228,25.826335906982422,A,1.1747393864824722,1.1747393864824722,-14.87473634519867,307166.5795639553,cuda,torch.float32,64,128,1024,4,1024,4,True,0.0
9,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.2952960729599,2.3127688439687093,2.368511915206909,2.257920026779175,A,1.0,1.0,0.0,3569038.476781779,cuda,torch.float32,64,128,128,1,128,4,True,0.0
9,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,3.6954879760742188e-06,9.809527397155762,1.6394239664077759,1.6510056511561075,1.6855295538902282,1.6240639686584473,A,1.4000625341529185,1.4000625341529185,-28.57461894692931,4996877.05429237,cuda,torch.float32,64,128,128,1,128,4,True,0.0
9,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.6954879760742188e-06,9.809527397155762,1.63646399974823,1.6488917255401612,1.6990879893302917,1.623039960861206,A,1.4025949078702808,1.4025949078702808,-28.703576892460447,5005915.193527226,cuda,torch.float32,64,128,128,1,128,4,True,0.0
10,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,3.004415988922119,3.0230864826838175,3.0606016159057616,2.988032102584839,A,1.0,1.0,0.0,2726653.0434552133,cuda,torch.float32,64,128,128,2,128,4,True,0.0
10,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,3.2186508178710938e-06,6.533335208892822,1.8042880296707153,1.8159287484486897,1.8648064136505127,1.7901760339736938,A,1.6651532014378152,1.6651532014378152,-39.94546573032879,4540295.04451961,cuda,torch.float32,64,128,128,2,128,4,True,0.0
10,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.2186508178710938e-06,6.533335208892822,1.8002399802207947,1.8281762067476908,1.9056223869323732,1.7920000553131104,A,1.668897492518545,1.668897492518545,-40.08020238014181,4550504.427190464,cuda,torch.float32,64,128,128,2,128,4,True,0.0
