shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
1,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,3.7959680557250977,3.824952967961629,3.8636480808258056,3.7847039699554443,A,1.0,1.0,0.0,2158079.277733854,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.9802322387695312e-06,6.409092903137207,1.9118080139160156,1.9307170184453328,1.9830783605575562,1.9046399593353271,A,1.9855383114278815,1.9855383114278815,-49.63582448928627,4284949.085039179,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.159046173095703e-06,4.853213787078857,1.3793280124664307,1.4092885359128315,1.5014911890029907,1.3721599578857422,A,2.752041589394953,2.752041589394953,-63.663339832743816,5939123.925534988,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,NFA,full+fast_dtype+compile+flash_attn,True,flash-attn,False,,True,none,torch.float16,none,,True,FAIL,,6702,0.00560760498046875,3038.458984375,0.3758080005645752,0.4026135472456614,0.5038080215454102,0.37273600697517395,A,10.100817571798435,10.100817571798435,-90.09981129852292,21798365.089868188,cuda,torch.float32,64,128,128,4,128,4,True,0.0
2,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.550960063934326,2.579438517888387,2.6493632555007935,2.490463972091675,A,1.0,1.0,0.0,50177.1869382332,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.5033950805664062e-06,0.022359218448400497,1.0388800501823425,1.0554847971598307,1.1120352506637572,1.0106879472732544,A,2.455490471192113,2.455490471192113,-59.274938684062114,123209.60439805698,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.8908252716064453e-06,0.03138994798064232,0.2017280012369156,0.24747114717960358,0.3790847957134247,0.187391996383667,A,12.64554275208626,12.64554275208626,-92.09207529004621,634517.7626068522,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,NFA,full+fast_dtype+compile+flash_attn,True,flash-attn,False,,True,none,torch.float16,none,,True,FAIL,,123,0.0037441253662109375,74.74822235107422,0.20735999941825867,0.22767957319815954,0.3031040042638778,0.16896000504493713,A,12.302083676171666,12.302083676171666,-91.87129573881101,617283.9523490528,cuda,torch.float32,1,128,128,4,128,4,True,0.0
3,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.624511957168579,2.670467193921407,2.7343872785568237,2.5569279193878174,A,1.0,1.0,0.0,195083.8892547339,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.3543834686279297e-06,0.16914477944374084,1.0640320181846619,1.0903125301996868,1.1644928455352783,1.0270719528198242,A,2.4665723515033333,2.4665723515033333,-59.45790929706492,481188.52745946485,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.6673078536987305e-06,0.21076267957687378,0.2247679978609085,0.29638783891995746,0.43277439475059504,0.22220799326896667,A,11.676537505987334,11.676537505987334,-91.43581734322154,2277904.3496967796,cuda,torch.float32,4,128,128,4,128,4,True,0.0
