shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
1,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,3.803136110305786,3.8418681812286377,3.9127039909362793,3.7816319465637207,A,1.0,1.0,0.0,2154011.784590411,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.9802322387695312e-06,6.409092903137207,1.9159040451049805,1.9401034792264302,1.99782395362854,1.8995200395584106,A,1.9850347516216014,1.9850347516216014,-49.62304820189739,4275788.247814428,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.159046173095703e-06,4.853213787078857,1.3824000358581543,1.4241811299324036,1.5609663605690003,1.3701119422912598,A,2.7511111195428377,2.7511111195428377,-63.65105019217931,5925925.7722129915,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0017038285732269287,1072.72216796875,0.9185280203819275,0.954305284023285,1.0775551795959473,0.9103360176086426,A,4.140468255638437,4.140468255638437,-75.8481423293558,8918617.416367695,cuda,torch.float32,64,128,128,4,128,4,True,0.0
1,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,577,0.004304707050323486,3313.86181640625,0.5683199763298035,0.6086952571074168,0.7228416144847869,0.562175989151001,A,6.691892364696287,6.691892364696287,-85.05654386679028,14414415.014766393,cuda,torch.float32,64,128,128,4,128,4,True,0.0
2,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.592863917350769,2.613329059282939,2.661580801010132,2.5579519271850586,A,1.0,1.0,0.0,49366.26220275479,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.86102294921875e-06,1.7148292064666748,1.0526880025863647,1.0640411726633707,1.1072415709495544,1.0342400074005127,A,2.463088693877315,2.463088693877315,-59.40056878642758,121593.48229058838,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.682209014892578e-06,1.8250954151153564,0.187391996383667,0.21741631964842478,0.325734406709671,0.187391996383667,A,13.836577694823907,13.836577694823907,-92.77277935298923,683060.1224714655,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0014357566833496094,547.2742919921875,0.17152000218629837,0.1957894406716029,0.29476480185985565,0.159743994474411,A,15.116976937386585,15.116976937386585,-93.38492078051102,746268.6472040233,cuda,torch.float32,1,128,128,4,128,4,True,0.0
2,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,35,0.003168344497680664,1212.619873046875,0.17510400712490082,0.19038293401400247,0.24988799542188644,0.16281600296497345,A,14.807564714959904,14.807564714959904,-93.2466950558743,730994.1223029707,cuda,torch.float32,1,128,128,4,128,4,True,0.0
3,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.578432083129883,2.6151114654541017,2.6705984354019168,2.5384960174560547,A,1.0,1.0,0.0,198570.28748203375,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.689659595489502e-06,0.3662211298942566,1.0414079427719116,1.0574734910329182,1.1132288217544555,1.0219520330429077,A,2.4759097537386547,2.4759097537386547,-59.610805745646125,491642.1115794561,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.6226043701171875e-06,0.2889607846736908,0.2242559939622879,0.25463082482417426,0.36864320933818817,0.22220799326896667,A,11.497717575225597,11.497717575225597,-91.30262164244908,2283105.0842997786,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0017922408878803253,58.396121978759766,0.1884160041809082,0.21768106947342555,0.33080641329288485,0.187391996383667,A,13.684782746237381,13.684782746237381,-92.69261325851191,2717391.2440495323,cuda,torch.float32,4,128,128,4,128,4,True,0.0
3,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,80,0.003126978874206543,412.408935546875,0.17715199291706085,0.1990190945068995,0.2739199966192245,0.16281600296497345,A,14.554914345993584,14.554914345993584,-93.1294683278211,2890173.5259603234,cuda,torch.float32,4,128,128,4,128,4,True,0.0
4,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.5682719945907593,2.6430109914143882,2.776345682144165,2.519040107727051,A,1.0,1.0,0.0,797423.3275577722,cuda,torch.float32,16,128,128,4,128,4,True,0.0
4,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,3.2782554626464844e-06,2.1333343982696533,1.0492640137672424,1.084017915725708,1.1755263566970826,1.018880009651184,A,2.44768900952747,2.44768900952747,-59.145136653081124,1951844.3148039826,cuda,torch.float32,16,128,128,4,128,4,True,0.0
4,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.4570693969726562e-06,3.5,0.4505600035190582,0.4868650662899017,0.6489087879657746,0.43110400438308716,A,5.700177500291865,5.700177500291865,-82.45668665670854,4545454.509952683,cuda,torch.float32,16,128,128,4,128,4,True,0.0
4,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0019974112510681152,2109.7333984375,0.32051199674606323,0.35229653398195904,0.5325824022293091,0.30822399258613586,A,8.013029217828505,8.013029217828505,-87.52032505041838,6389776.422698459,cuda,torch.float32,16,128,128,4,128,4,True,0.0
4,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,141,0.003531217575073242,1962.5255126953125,0.20479999482631683,0.25399530669053394,0.41502719819545747,0.19148799777030945,A,12.540390915384613,12.540390915384613,-92.02576692586835,10000000.252621254,cuda,torch.float32,16,128,128,4,128,4,True,0.0
5,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,7.549951791763306,7.624237442016602,7.850188970565796,7.486464023590088,A,1.0,1.0,0.0,2170080.081554201,cuda,torch.float32,128,128,128,4,128,4,True,0.0
5,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,3.337860107421875e-06,19.66667366027832,3.7171199321746826,3.773770866394043,4.051823902130127,3.640320062637329,A,2.0311294576245333,2.0311294576245333,-50.76630904809338,4407713.5790489875,cuda,torch.float32,128,128,128,4,128,4,True,0.0
5,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.1366944313049316e-06,18.333341598510742,2.6664960384368896,2.7740234661102297,3.196108818054199,2.6511359214782715,A,2.831413091537581,2.831413091537581,-64.68194616360425,6144393.152597506,cuda,torch.float32,128,128,128,4,128,4,True,0.0
5,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0021229982376098633,3299.96240234375,1.8570239543914795,1.9372597384452819,2.2770687341690063,1.8462719917297363,A,4.0656189565617735,4.0656189565617735,-75.40349917972434,8822718.71682388,cuda,torch.float32,128,128,128,4,128,4,True,0.0
5,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,965,0.0037175416946411133,7095.26416015625,1.1929600238800049,1.2846530199050903,1.5979519963264464,1.1857919692993164,A,6.328755063566762,6.328755063566762,-84.19910408989,13733905.30448152,cuda,torch.float32,128,128,128,4,128,4,True,0.0
6,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,538.6065979003906,538.5144930013021,539.4280578613282,536.0383911132812,A,1.0,1.0,0.0,2376502.636599194,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
6,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,4.172325134277344e-06,1271905.75,263.4670104980469,263.3850164794922,263.9742034912109,261.4118347167969,A,2.0443037512826807,2.0443037512826807,-51.083590226131584,4858293.254932913,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
6,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,4.351139068603516e-06,1111485.125,197.48147583007812,197.49264831542968,198.28766326904298,196.3356170654297,A,2.7273778243577222,2.7273778243577222,-63.334746250806205,6481620.5905883,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
6,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,FAIL,,5,0.0026625394821166992,396079840.0,133.60231018066406,133.63189951578775,133.93367462158204,132.9029083251953,A,4.031416800892578,4.031416800892578,-75.19482481249285,9580672.656551497,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
6,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,79483,0.004536032676696777,1259405568.0,82.52877044677734,82.63048263549804,83.09801177978515,82.37875366210938,A,6.526288892765427,6.526288892765427,-84.67735620608939,15509742.76086507,cuda,torch.float32,10000,128,128,4,128,4,True,0.0
7,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.648063898086548,2.7177027877171835,2.9963263273239136,2.5825281143188477,A,1.0,1.0,0.0,3093580.9388585445,cuda,torch.float32,64,128,32,4,32,4,True,0.0
7,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,2.562999725341797e-06,13.666671752929688,1.1084799766540527,1.1377625600496928,1.269862413406372,1.0598399639129639,A,2.3889145080272263,2.3889145080272263,-58.139983802693585,7390300.3865956655,cuda,torch.float32,64,128,32,4,32,4,True,0.0
7,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,2.5033950805664062e-06,10.33333683013916,0.6533120274543762,0.715721598068873,0.9008064031600952,0.6440960168838501,A,4.0532912097221026,4.0532912097221026,-75.32869097583144,12539184.426039187,cuda,torch.float32,64,128,32,4,32,4,True,0.0
7,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0019603967666625977,4557.67138671875,0.2467840015888214,0.2892757335305214,0.5007359981536865,0.23756800591945648,A,10.730289974382591,10.730289974382591,-90.68058736168926,33195020.533174925,cuda,torch.float32,64,128,32,4,32,4,True,0.0
7,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,54,0.0046656131744384766,39979.22265625,0.21964799612760544,0.2676676273345947,0.4058111906051635,0.16486400365829468,A,12.055943804505022,12.055943804505022,-91.70533625392046,37296037.9535665,cuda,torch.float32,64,128,32,4,32,4,True,0.0
