shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
1,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.8804640769958496,2.8936369021733603,2.9089824914932247,2.6961920261383057,A,1.0,1.0,0.0,2843986.1706394763,cuda,torch.bfloat16,64,128,128,4,128,4,True,0.0
2,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.8548160791397095,2.8572730580965677,2.882579207420349,2.8190720081329346,A,1.0,1.0,0.0,44836.513614765834,cuda,torch.bfloat16,1,128,128,4,128,4,True,0.0
3,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.6837120056152344,2.690908155441284,2.730198431015015,2.6451199054718018,A,1.0,1.0,0.0,190780.5304476496,cuda,torch.bfloat16,4,128,128,4,128,4,True,0.0
4,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.8964319229125977,2.902040958404541,2.927471899986267,2.860095977783203,A,1.0,1.0,0.0,707076.8637091147,cuda,torch.bfloat16,16,128,128,4,128,4,True,0.0
5,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,3.7498879432678223,3.774064062436422,3.8564672231674195,3.7419519424438477,A,1.0,1.0,0.0,4369197.226123573,cuda,torch.bfloat16,128,128,128,4,128,4,True,0.0
6,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,276.8737335205078,276.8681573486328,277.1928192138672,276.3397216796875,A,1.0,1.0,0.0,4623045.977401072,cuda,torch.bfloat16,10000,128,128,4,128,4,True,0.0
7,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.6951680183410645,2.6965093302726744,2.7197503805160523,2.6572799682617188,A,1.0,1.0,0.0,3039513.6571271564,cuda,torch.bfloat16,64,128,32,4,32,4,True,0.0
8,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,9.21395206451416,9.272710679372151,9.513983726501465,9.199616432189941,A,1.0,1.0,0.0,889086.4574333938,cuda,torch.bfloat16,64,128,1024,4,1024,4,True,0.0
9,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.442239999771118,2.4485913642247517,2.470956873893738,2.407360076904297,A,1.0,1.0,0.0,3354297.6942346934,cuda,torch.bfloat16,64,128,128,1,128,4,True,0.0
10,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.954240083694458,2.9547014435132346,2.982076716423035,2.9020159244537354,A,1.0,1.0,0.0,2772963.526293842,cuda,torch.bfloat16,64,128,128,2,128,4,True,0.0
11,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,5.340159893035889,5.449948711395264,5.914624214172363,5.332992076873779,A,1.0,1.0,0.0,1534036.4640922458,cuda,torch.bfloat16,64,128,128,16,128,4,True,0.0
12,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,2.7046239376068115,2.710043732325236,2.732032060623169,2.649087905883789,A,1.0,1.0,0.0,757221.7237018816,cuda,torch.bfloat16,64,32,128,4,128,4,True,0.0
13,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,78.45120239257812,78.47971880594889,78.62157135009765,78.37184143066406,A,1.0,1.0,0.0,835372.7922747559,cuda,torch.bfloat16,64,1024,128,4,1024,4,True,0.0
