shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,4.154367923736572,4.209634445508321,4.2751136302948,4.110208034515381,A,1.0,1.0,0.0,246487.5569034775,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,0.0011156201362609863,229.7279815673828,1.7008639574050903,1.7359593546390533,1.8104032039642333,1.679360032081604,A,2.442504531682035,2.442504531682035,-59.05841782363661,602046.9747399772,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,U,selective+attention_core,True,sdpa,True,auto,True,none,torch.float16,attention_core,,False,PASS,,0,0.0011577382683753967,174.10623168945312,2.0951039791107178,2.1178729557991027,2.1618688106536865,2.0654079914093018,A,1.9828934340050866,1.9828934340050866,-49.56864636037547,488758.55814786063,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,X,selective+qkv+attention,True,sdpa,True,auto,True,none,torch.float16,attention_qkv,,False,PASS,,0,0.0012496411800384521,142.2024383544922,2.0552159547805786,2.082572910785675,2.116607904434204,2.0295679569244385,A,2.0213778090196395,2.0213778090196395,-50.52879300752806,498244.477724155,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Y,selective+attention+out_proj,True,sdpa,True,auto,True,none,torch.float16,attention_out,,False,PASS,,0,0.0014977753162384033,176.7049102783203,2.126847982406616,2.1549336369832357,2.18429434299469,2.0951039791107178,A,1.9532980062993188,1.9532980062993188,-48.80453485463896,481463.6534771525,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Z1,selective+proj_first1,True,sdpa,True,auto,True,none,torch.float16,attention_projection,1,False,PASS,,0,0.0012767314910888672,160.1876983642578,1.772544026374817,1.801363199154536,1.8544543743133546,1.7397760152816772,A,2.343731868952801,2.343731868952801,-57.3330032651385,577700.7424149972,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Z2,selective+proj_first2,True,sdpa,True,auto,True,none,torch.float16,attention_projection,2,False,PASS,,0,0.0014570951461791992,219.68531799316406,1.8355200290679932,1.8629148821036021,1.9097599983215332,1.8001919984817505,A,2.263319308940476,2.263319308940476,-55.817104725354525,557880.0469532049,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Z3,selective+proj_first3,True,sdpa,True,auto,True,none,torch.float16,attention_projection,3,False,PASS,,0,0.001206040382385254,132.07962036132812,1.8974720239639282,1.92666175921758,1.9660799503326416,1.8698240518569946,A,2.1894224901708212,2.1894224901708212,-54.325855128948696,539665.4006317337,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Z4,selective+proj_first4,True,sdpa,True,auto,True,none,torch.float16,attention_projection,4,False,PASS,,0,0.001305907964706421,200.5191650390625,1.9589120149612427,1.9851090141137442,2.021478295326233,1.9334399700164795,A,2.120752689251726,2.120752689251726,-52.84693000423193,522739.14917013765,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Z5,selective+proj_first5,True,sdpa,True,auto,True,none,torch.float16,attention_projection,5,False,PASS,,0,0.0014137029647827148,143.4539337158203,2.016256093978882,2.0445237517356873,2.0704703092575074,1.9845119714736938,A,2.060436636071531,2.060436636071531,-51.46659778353487,507871.9925796913,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,Z6,selective+proj_first6,True,sdpa,True,auto,True,none,torch.float16,attention_projection,6,False,PASS,,0,0.0013903975486755371,128.1467742919922,2.072192072868347,2.100691091219584,2.1197248220443727,2.046976089477539,A,2.00481797905252,2.00481797905252,-50.120160012102374,494162.6856928228,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,V,selective+attention_projection,True,sdpa,True,auto,True,none,torch.float16,attention_projection,,False,PASS,,0,0.0013903975486755371,128.1467742919922,2.0736000537872314,2.0993884817759194,2.1218111515045166,2.0346879959106445,A,2.003456701377403,2.003456701377403,-50.08626843233064,493827.147684416,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,W,selective+attention+ffn_gemms,True,sdpa,True,auto,True,none,torch.float16,attention_ffn,,False,PASS,,0,0.0014441609382629395,287.09130859375,2.3459839820861816,2.374344429175059,2.4146944284439087,2.3060479164123535,A,1.7708424079018108,1.7708424079018108,-43.529701144617725,436490.61878478865,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
